co_erro,rows,files,in_moterro
010001,29627,1264,yes
010003,108799,3421,yes
010004,39,30,yes
010006,15,10,yes
010007,308,44,yes
010008,23511,1927,yes
020000,1633,23,no
020001,408190,3167,yes
020002,89024,2973,yes
020003,5424,592,yes
020004,174,34,yes
020005,20,16,yes
020006,270,26,yes
020007,26,20,yes
020008,517773,4036,yes
020009,49572,1876,yes
020010,7521,1019,yes
020011,461,204,yes
020012,6,5,yes
020013,2,2,yes
020014,2,2,yes
020015,16,15,yes
020016,7889,653,yes
020017,3449,892,yes
020018,10,9,yes
020019,24,22,yes
020025,207,137,yes
020026,4,3,yes
020027,2,2,yes
020030,1,1,yes
020031,4,4,yes
020032,25,7,yes
020050,14629,1471,yes
020051,46224,2035,yes
020052,1137,257,yes
020053,653,245,yes
020054,152,51,yes
020055,147,65,yes
020056,76,35,yes
020057,8202,745,yes
020058,118,31,yes
020059,3669,610,yes
020060,11595,804,yes
020061,34,29,yes
020062,30878,1590,yes
020063,4205,555,yes
020064,1182,181,yes
020065,778,113,yes
020067,2056,157,yes
020068,511,221,yes
020069,498716,2981,yes
020070,93498,2670,yes
020071,593053,2397,yes
020072,533,327,yes
020073,271,70,yes
020074,7117,739,yes
020075,324298,2825,yes
020076,25067,1716,yes
020077,78777,3168,yes
020078,6512,1222,yes
020079,6449,1049,yes
020080,8424,716,yes
020081,1030294,3182,yes
020082,142328,1354,yes
030001,19670,1119,yes
030002,137,69,yes
030003,124,63,yes
030004,31,21,yes
030005,16,6,yes
030006,3,3,yes
030007,2,2,yes
030008,5256,404,yes
030009,385,120,yes
030010,69,24,yes
030011,14,12,yes
030012,2,2,yes
030013,2,2,yes
030014,3,3,yes
030015,6,6,yes
030017,8,7,no
030018,5,4,no
030025,2,2,no
030029,1,1,no
030050,4138,583,yes
030051,9351,620,yes
030052,236,86,yes
030053,214,86,yes
030054,45,26,yes
030055,209,33,yes
030056,13,12,yes
030057,6011,261,yes
030058,42,9,yes
030059,1608,271,yes
030060,352,152,yes
030061,13,11,yes
030062,4157,506,yes
030063,295,42,yes
030064,20,14,yes
030065,13,3,yes
030066,1,1,yes
030067,9,6,yes
030068,16,6,yes
030069,4970,248,yes
030070,10133,661,yes
030071,3799,46,yes
030072,82,22,yes
030073,97,26,yes
030074,1071,163,yes
030075,21370,1028,yes
030077,103,42,yes
040001,1286,555,yes
040002,227,90,yes
040003,32036,3373,yes
040004,1056493,3856,yes
040005,7668,1173,yes
040006,346322,4453,yes
040007,75,13,yes
040008,177702,4392,yes
040009,46374,3752,yes
050003,461,69,yes
050006,6926,1988,yes
050007,21,17,yes
050008,188380,3922,yes
050010,2,1,yes
050012,3026,1732,yes
050013,925,63,yes
050016,825,433,yes
050022,3,3,yes
050024,4363,243,yes
050025,2,2,yes
050026,4362,243,yes
050027,51,6,yes
050033,13,1,yes
050035,335,88,yes
050036,13,1,yes
050038,496,91,yes
050040,1539,19,yes
050041,558,7,yes
050042,13,1,yes
050044,520,85,yes
050045,404,84,yes
050047,532,103,yes
050049,72,19,yes
050050,145,38,yes
050052,544,249,yes
050053,227,54,yes
050054,205,6,yes
050055,4067,65,yes
050057,3143,362,yes
050058,126,13,yes
050061,187,21,yes
050062,34,5,yes
050063,3433,55,yes
050064,283,162,yes
050065,70,4,yes
050066,25,12,yes
050068,588,187,yes
050079,146,9,yes
050080,893,1,yes
050081,76,35,yes
050082,119,20,yes
050083,440,295,yes
050085,1,1,yes
050086,2,2,yes
050090,4692,251,yes
050096,8027,2235,yes
050097,681,150,yes
050098,16728,835,yes
050101,30,18,yes
050104,7995,136,yes
050105,65,59,yes
050106,1233,26,yes
050107,11,10,yes
050109,72,19,yes
050111,1,1,yes
050113,355,160,yes
050114,1142,579,yes
050115,127,99,yes
050116,17354,2243,yes
050126,53,27,yes
050127,3,2,yes
050128,3,2,yes
050129,13774,820,yes
050133,180,21,yes
050134,776,276,yes
050135,10,7,yes
050136,334,112,yes
050137,35,19,yes
050138,19,16,yes
050139,258,152,yes
050140,3095,50,yes
050141,6,4,yes
050142,19022,2806,yes
050143,2895,1115,yes
050146,27,8,yes
050149,467,319,yes
050150,304,117,yes
050151,2,1,yes
050152,675,243,yes
050153,5572,1454,yes
