file,sha256,records,fields,rr_residents,equal,equal_but_contador,dorr_sha256
DOINF96.dbc,131044797efd75722d07be71f9c505a8755afbec5eee77bed23b78ae15b52d2e,75024,40,237,0,237,9049077d1e1a84ac889ce8e4bd8c82fa797c6c6dce8e3083467572c38b335351
DOMAT96.dbc,0c6143f807790e7a871cb26598cc07b58a7f69c893e259fae9d5695fa570b72b,1520,40,2,0,2,9049077d1e1a84ac889ce8e4bd8c82fa797c6c6dce8e3083467572c38b335351
DOEXT96.dbc,ad5a14196f3cd1fbb368fe0ecdcad026827b2d6315fc58d631d1d63ebcdd202b,119156,40,268,0,268,9049077d1e1a84ac889ce8e4bd8c82fa797c6c6dce8e3083467572c38b335351
DOINF00.dbc,459f186d7bcf73c36676bfff02efb28130e79df4a305746e6681bc8129e88a4e,68199,40,181,0,181,f6af2bd0b81d2f112b5bfdc29a1807ee299d42e8eff94354494ee8bf9cf8e10d
DOMAT00.dbc,5242880b8b3f8eac7b2e6e58cd96f17ab19db0ee36fcfc87ce2abf30aa9af360,1677,40,6,0,6,f6af2bd0b81d2f112b5bfdc29a1807ee299d42e8eff94354494ee8bf9cf8e10d
DOEXT00.dbc,07bdd266de2df868b38e0e9d0256e9f84c9c8b569ef9a684fbb2e90aa5a940b6,118397,40,348,0,348,f6af2bd0b81d2f112b5bfdc29a1807ee299d42e8eff94354494ee8bf9cf8e10d
DOINF05.dbc,05bd01670b8c541fe3b5b129be4d50d32d430b73d4c19f667a6c7ce01d6aa5de,51544,43,175,0,175,81ac5c26d16801bac9fe4192a9d7d4abf7f2f716d8e8cbc2ae9cda087628f65f
DOMAT05.dbc,5aab56eac32031395929c386727aab75ff30225055c1a278779fc4dc99b7331d,1620,43,5,0,5,81ac5c26d16801bac9fe4192a9d7d4abf7f2f716d8e8cbc2ae9cda087628f65f
DOEXT05.dbc,64b1d4d60af87b5348e77277b549ca0e5d3dc4ed483cd2ea618ffc3cbecb990d,127633,43,316,0,316,81ac5c26d16801bac9fe4192a9d7d4abf7f2f716d8e8cbc2ae9cda087628f65f
DOINF10.dbc,b57db5417967484b38ac32fe1db44032d002059186772bc01024e0276419f5a3,39874,58,126,58,58,92c50a7356af36793437961e56965dbfb492ba5013881d84bb2b555158043676
